time,user,src_user,src_computer,dst_computer,auth_type,logon_type,auth_orient,success
0,U1@DOM,U1@DOM,PC1,SRV1,NTLM,Network,LogOn,Fail
60,U2@DOM,U2@DOM,PC2,SRV2,Kerberos,Network,LogOn,Success
120,U3@DOM,U3@DOM,PC3,SRV3,Kerberos,Network,LogOn,Success
180,U4@DOM,U4@DOM,PC4,SRV4,Kerberos,Network,LogOn,Success
240,U5@DOM,U5@DOM,PC5,SRV5,NTLM,Network,LogOn,Success
300,U6@DOM,U6@DOM,PC6,SRV6,Kerberos,Network,LogOn,Success
360,U7@DOM,U7@DOM,PC7,SRV7,Kerberos,Network,LogOn,Success
420,U8@DOM,U8@DOM,PC8,SRV8,Kerberos,Network,LogOn,Success
480,U9@DOM,U9@DOM,PC9,SRV9,NTLM,Network,LogOn,Success
540,U10@DOM,U10@DOM,PC10,SRV10,Kerberos,Network,LogOn,Success
600,U11@DOM,U11@DOM,PC11,SRV11,Kerberos,Network,LogOn,Success
660,U12@DOM,U12@DOM,PC12,SRV12,Kerberos,Network,LogOn,Fail
720,U13@DOM,U13@DOM,PC13,SRV1,NTLM,Network,LogOn,Success
780,U14@DOM,U14@DOM,PC14,SRV2,Kerberos,Network,LogOn,Success
840,U15@DOM,U15@DOM,PC15,SRV3,Kerberos,Network,LogOn,Success
900,U16@DOM,U16@DOM,PC16,SRV4,Kerberos,Network,LogOn,Success
960,U17@DOM,U17@DOM,PC17,SRV5,NTLM,Network,LogOn,Success
1020,U18@DOM,U18@DOM,PC18,SRV6,Kerberos,Network,LogOn,Success
1080,U19@DOM,U19@DOM,PC1,SRV7,Kerberos,Network,LogOn,Success
1140,U20@DOM,U20@DOM,PC2,SRV8,Kerberos,Network,LogOn,Success
1200,U21@DOM,U21@DOM,PC3,SRV9,NTLM,Network,LogOn,Success
1260,U22@DOM,U22@DOM,PC4,SRV10,Kerberos,Network,LogOn,Success
1320,U23@DOM,U23@DOM,PC5,SRV11,Kerberos,Network,LogOn,Fail
1380,U24@DOM,U24@DOM,PC6,SRV12,Kerberos,Network,LogOn,Success
1440,U1@DOM,U1@DOM,PC7,SRV1,NTLM,Network,LogOn,Success
1500,U2@DOM,U2@DOM,PC8,SRV2,Kerberos,Network,LogOn,Success
1560,U3@DOM,U3@DOM,PC9,SRV3,Kerberos,Network,LogOn,Success
1620,U4@DOM,U4@DOM,PC10,SRV4,Kerberos,Network,LogOn,Success
1680,U5@DOM,U5@DOM,PC11,SRV5,NTLM,Network,LogOn,Success
1740,U6@DOM,U6@DOM,PC12,SRV6,Kerberos,Network,LogOn,Success
1800,U7@DOM,U7@DOM,PC13,SRV7,Kerberos,Network,LogOn,Success
1860,U8@DOM,U8@DOM,PC14,SRV8,Kerberos,Network,LogOn,Success
1920,U9@DOM,U9@DOM,PC15,SRV9,NTLM,Network,LogOn,Success
1980,U10@DOM,U10@DOM,PC16,SRV10,Kerberos,Network,LogOn,Fail
2040,U11@DOM,U11@DOM,PC17,SRV11,Kerberos,Network,LogOn,Success
2100,U12@DOM,U12@DOM,PC18,SRV12,Kerberos,Network,LogOn,Success
2160,U13@DOM,U13@DOM,PC1,SRV1,NTLM,Network,LogOn,Success
2220,U14@DOM,U14@DOM,PC2,SRV2,Kerberos,Network,LogOn,Success
2280,U15@DOM,U15@DOM,PC3,SRV3,Kerberos,Network,LogOn,Success
2340,U16@DOM,U16@DOM,PC4,SRV4,Kerberos,Network,LogOn,Success
2400,U17@DOM,U17@DOM,PC5,SRV5,NTLM,Network,LogOn,Success
2460,U18@DOM,U18@DOM,PC6,SRV6,Kerberos,Network,LogOn,Success
2520,U19@DOM,U19@DOM,PC7,SRV7,Kerberos,Network,LogOn,Success
2580,U20@DOM,U20@DOM,PC8,SRV8,Kerberos,Network,LogOn,Success
2640,U21@DOM,U21@DOM,PC9,SRV9,NTLM,Network,LogOn,Fail
2700,U22@DOM,U22@DOM,PC10,SRV10,Kerberos,Network,LogOn,Success
2760,U23@DOM,U23@DOM,PC11,SRV11,Kerberos,Network,LogOn,Success
2820,U24@DOM,U24@DOM,PC12,SRV12,Kerberos,Network,LogOn,Success
2880,U1@DOM,U1@DOM,PC13,SRV1,NTLM,Network,LogOn,Success
2940,U2@DOM,U2@DOM,PC14,SRV2,Kerberos,Network,LogOn,Success
3000,U3@DOM,U3@DOM,PC15,SRV3,Kerberos,Network,LogOn,Success
3060,U4@DOM,U4@DOM,PC16,SRV4,Kerberos,Network,LogOn,Success
3120,U5@DOM,U5@DOM,PC17,SRV5,NTLM,Network,LogOn,Success
3180,U6@DOM,U6@DOM,PC18,SRV6,Kerberos,Network,LogOn,Success
3240,U7@DOM,U7@DOM,PC1,SRV7,Kerberos,Network,LogOn,Success
3300,U8@DOM,U8@DOM,PC2,SRV8,Kerberos,Network,LogOn,Fail
3360,U9@DOM,U9@DOM,PC3,SRV9,NTLM,Network,LogOn,Success
3420,U10@DOM,U10@DOM,PC4,SRV10,Kerberos,Network,LogOn,Success
3480,U11@DOM,U11@DOM,PC5,SRV11,Kerberos,Network,LogOn,Success
3540,U12@DOM,U12@DOM,PC6,SRV12,Kerberos,Network,LogOn,Success
3600,U13@DOM,U13@DOM,PC7,SRV1,NTLM,Network,LogOn,Success
3660,U14@DOM,U14@DOM,PC8,SRV2,Kerberos,Network,LogOn,Success
3720,U15@DOM,U15@DOM,PC9,SRV3,Kerberos,Network,LogOn,Success
3780,U16@DOM,U16@DOM,PC10,SRV4,Kerberos,Network,LogOn,Success
3840,U17@DOM,U17@DOM,PC11,SRV5,NTLM,Network,LogOn,Success
3900,U18@DOM,U18@DOM,PC12,SRV6,Kerberos,Network,LogOn,Success
3960,U19@DOM,U19@DOM,PC13,SRV7,Kerberos,Network,LogOn,Fail
4020,U20@DOM,U20@DOM,PC14,SRV8,Kerberos,Network,LogOn,Success
